phase,temperature_K,pressure_Pa,density_kg_m3,gibbs_J_mol,cp_J_mol_K,region_status,source_model,note
iceIh,270.0,101325.0,917.1813096524884,-68.19328381487753,37.35428458209856,stable,IAPWS R10-06(2009),Ice Ih Gibbs formulation evaluated directly at fixed pressure.
iceIh,271.0,101325.0,917.0358986548723,-45.833922174249004,37.48700358075064,stable,IAPWS R10-06(2009),Ice Ih Gibbs formulation evaluated directly at fixed pressure.
iceIh,272.0,101325.0,916.8900636534414,-23.61288898912366,37.61977571087565,stable,IAPWS R10-06(2009),Ice Ih Gibbs formulation evaluated directly at fixed pressure.
iceIh,273.0,101325.0,916.7438071914073,-1.5301638313898014,37.75260020020047,stable,IAPWS R10-06(2009),Ice Ih Gibbs formulation evaluated directly at fixed pressure.
iceIh,273.1525192653757,101325.0,916.7214633802105,1.8257224696089476,37.772863047476804,phase-boundary,IAPWS R10-06(2009),Ice Ih Gibbs formulation evaluated directly at fixed pressure.
liquid,250.0,101325.0,991.2418382713945,-75.8635248579788,80.70554480374275,metastable-source-formulation-derived,IAPWS R6-95(2018),Subcooled liquid; IAPWS-95 calls this an extrapolation and notes a separate supercooled-water guideline gives a better representation.
liquid,251.0,101325.0,992.0407136453512,-69.15035079881473,80.19828124972119,metastable-source-formulation-derived,IAPWS R6-95(2018),Subcooled liquid; IAPWS-95 calls this an extrapolation and notes a separate supercooled-water guideline gives a better representation.
liquid,252.0,101325.0,992.7825867487905,-62.75671253809902,79.74716597900597,metastable-source-formulation-derived,IAPWS R6-95(2018),Subcooled liquid; IAPWS-95 calls this an extrapolation and notes a separate supercooled-water guideline gives a better representation.
liquid,253.0,101325.0,993.4714132444614,-56.679549398360095,79.34497886934008,metastable-source-formulation-derived,IAPWS R6-95(2018),Subcooled liquid; IAPWS-95 calls this an extrapolation and notes a separate supercooled-water guideline gives a better representation.
liquid,254.0,101325.0,994.1107673530578,-50.91601862415878,78.98546355164767,metastable-source-formulation-derived,IAPWS R6-95(2018),Subcooled liquid; IAPWS-95 calls this an extrapolation and notes a separate supercooled-water guideline gives a better representation.
liquid,255.0,101325.0,994.7038801606099,-45.463468139678355,78.6632162721968,metastable-source-formulation-derived,IAPWS R6-95(2018),Subcooled liquid; IAPWS-95 calls this an extrapolation and notes a separate supercooled-water guideline gives a better representation.
liquid,256.0,101325.0,995.2536753624194,-40.31941307608136,78.37357885095297,metastable-source-formulation-derived,IAPWS R6-95(2018),Subcooled liquid; IAPWS-95 calls this an extrapolation and notes a separate supercooled-water guideline gives a better representation.
liquid,257.0,101325.0,995.7628020327688,-35.48151558233347,78.1125396082787,metastable-source-formulation-derived,IAPWS R6-95(2018),Subcooled liquid; IAPWS-95 calls this an extrapolation and notes a separate supercooled-water guideline gives a better representation.
liquid,258.0,101325.0,996.2336642887512,-30.947567470750183,77.87664410193987,metastable-source-formulation-derived,IAPWS R6-95(2018),Subcooled liquid; IAPWS-95 calls this an extrapolation and notes a separate supercooled-water guideline gives a better representation.
liquid,259.0,101325.0,996.6684479004717,-26.715475287898744,77.66291619364958,metastable-source-formulation-derived,IAPWS R6-95(2018),Subcooled liquid; IAPWS-95 calls this an extrapolation and notes a separate supercooled-water guideline gives a better representation.
liquid,260.0,101325.0,997.0691440085485,-22.783247476801133,77.46878916492088,metastable-source-formulation-derived,IAPWS R6-95(2018),Subcooled liquid; IAPWS-95 calls this an extrapolation and notes a separate supercooled-water guideline gives a better representation.
liquid,261.0,101325.0,997.4375701699827,-19.148983305246254,77.2920461636007,metastable-source-formulation-derived,IAPWS R6-95(2018),Subcooled liquid; IAPWS-95 calls this an extrapolation and notes a separate supercooled-water guideline gives a better representation.
liquid,262.0,101325.0,997.7753889791456,-15.810863312953332,77.13076905812429,metastable-source-formulation-derived,IAPWS R6-95(2018),Subcooled liquid; IAPWS-95 calls this an extrapolation and notes a separate supercooled-water guideline gives a better representation.
liquid,263.0,101325.0,998.0841245135672,-12.767141045520363,76.98329471671644,metastable-source-formulation-derived,IAPWS R6-95(2018),Subcooled liquid; IAPWS-95 calls this an extrapolation and notes a separate supercooled-water guideline gives a better representation.
liquid,264.0,101325.0,998.3651768458029,-10.016135883227426,76.84817775285389,metastable-source-formulation-derived,IAPWS R6-95(2018),Subcooled liquid; IAPWS-95 calls this an extrapolation and notes a separate supercooled-water guideline gives a better representation.
liquid,265.0,101325.0,998.6198348459075,-7.556226809582791,76.7241588468399,metastable-source-formulation-derived,IAPWS R6-95(2018),Subcooled liquid; IAPWS-95 calls this an extrapolation and notes a separate supercooled-water guideline gives a better representation.
liquid,266.0,101325.0,998.8492874789297,-5.3858469747380795,76.6101378434339,metastable-source-formulation-derived,IAPWS R6-95(2018),Subcooled liquid; IAPWS-95 calls this an extrapolation and notes a separate supercooled-water guideline gives a better representation.
liquid,267.0,101325.0,999.0546337820477,-3.503478941706843,76.5051509191189,metastable-source-formulation-derived,IAPWS R6-95(2018),Subcooled liquid; IAPWS-95 calls this an extrapolation and notes a separate supercooled-water guideline gives a better representation.
liquid,268.0,101325.0,999.2368916839503,-1.9076505141832172,76.40835120687275,metastable-source-formulation-derived,IAPWS R6-95(2018),Subcooled liquid; IAPWS-95 calls this an extrapolation and notes a separate supercooled-water guideline gives a better representation.
liquid,269.0,101325.0,999.3970058111445,-0.5969310638591965,76.31899235042187,metastable-source-formulation-derived,IAPWS R6-95(2018),Subcooled liquid; IAPWS-95 calls this an extrapolation and notes a separate supercooled-water guideline gives a better representation.
liquid,270.0,101325.0,999.5358544074343,0.4300717089371517,76.23641453793068,metastable-source-formulation-derived,IAPWS R6-95(2018),Subcooled liquid; IAPWS-95 calls this an extrapolation and notes a separate supercooled-water guideline gives a better representation.
liquid,271.0,101325.0,999.654255477182,1.1747146526426107,76.16003263200633,metastable-source-formulation-derived,IAPWS R6-95(2018),Subcooled liquid; IAPWS-95 calls this an extrapolation and notes a separate supercooled-water guideline gives a better representation.
liquid,272.0,101325.0,999.7529722486319,1.6383217169640563,76.08932607173554,metastable-source-formulation-derived,IAPWS R6-95(2018),Subcooled liquid; IAPWS-95 calls this an extrapolation and notes a separate supercooled-water guideline gives a better representation.
liquid,273.0,101325.0,999.8327180414295,1.8221862321711453,76.02383027248926,metastable-source-formulation-derived,IAPWS R6-95(2018),Subcooled liquid; IAPWS-95 calls this an extrapolation and notes a separate supercooled-water guideline gives a better representation.
liquid,273.1525192653757,101325.0,999.8432561236771,1.8257224697997612,76.01427205387795,phase-boundary,IAPWS R6-95(2018),IAPWS-95 liquid root at fixed pressure.
liquid,274.0,101325.0,999.8941606110159,1.727572952307513,75.96312929246633,stable,IAPWS R6-95(2018),IAPWS-95 liquid root at fixed pressure.
liquid,275.0,101325.0,999.937926033804,1.3557198848890173,75.9068495704807,stable,IAPWS R6-95(2018),IAPWS-95 liquid root at fixed pressure.
liquid,276.0,101325.0,999.9646021878771,0.707839944476076,75.85465457109294,stable,IAPWS R6-95(2018),IAPWS-95 liquid root at fixed pressure.
liquid,277.0,101325.0,999.974741877723,-0.2148775532402791,75.80624019789478,stable,IAPWS R6-95(2018),IAPWS-95 liquid root at fixed pressure.
liquid,278.0,101325.0,999.9688656443835,-1.4112655380933643,75.76133085897581,stable,IAPWS R6-95(2018),IAPWS-95 liquid root at fixed pressure.
liquid,279.0,101325.0,999.9474642978795,-2.8801779514820884,75.7196760852243,stable,IAPWS R6-95(2018),IAPWS-95 liquid root at fixed pressure.
liquid,280.0,101325.0,999.9110012033934,-4.620488624024686,75.68104761892809,stable,IAPWS R6-95(2018),IAPWS-95 liquid root at fixed pressure.
liquid,281.0,101325.0,999.8599143492432,-6.631090244891313,75.64523690226903,stable,IAPWS R6-95(2018),IAPWS-95 liquid root at fixed pressure.
liquid,282.0,101325.0,999.7946182207994,-8.91089341652885,75.61205290618638,stable,IAPWS R6-95(2018),IAPWS-95 liquid root at fixed pressure.
liquid,283.0,101325.0,999.7155055017192,-11.458825788385306,75.58132024990334,stable,IAPWS R6-95(2018),IAPWS-95 liquid root at fixed pressure.
liquid,284.0,101325.0,999.6229486211058,-14.273831255142095,75.55287756805087,stable,IAPWS R6-95(2018),IAPWS-95 liquid root at fixed pressure.
liquid,285.0,101325.0,999.5173011631385,-17.354869215085348,75.52657608989989,stable,IAPWS R6-95(2018),IAPWS-95 liquid root at fixed pressure.
liquid,286.0,101325.0,999.398899153433,-20.70091388594962,75.50227839971467,stable,IAPWS R6-95(2018),IAPWS-95 liquid root at fixed pressure.
liquid,287.0,101325.0,999.2680622350248,-24.310953670265196,75.47985735262903,stable,IAPWS R6-95(2018),IAPWS-95 liquid root at fixed pressure.
liquid,288.0,101325.0,999.1250947451897,-28.18399055906664,75.45919512379778,stable,IAPWS R6-95(2018),IAPWS-95 liquid root at fixed pressure.
liquid,289.0,101325.0,998.9702867028899,-32.31903958587119,75.44018237221137,stable,IAPWS R6-95(2018),IAPWS-95 liquid root at fixed pressure.
liquid,290.0,101325.0,998.8039147159279,-36.71512830937313,75.422717503043,stable,IAPWS R6-95(2018),IAPWS-95 liquid root at fixed pressure.
liquid,291.0,101325.0,998.6262428153634,-41.37129633493035,75.40670601511215,stable,IAPWS R6-95(2018),IAPWS-95 liquid root at fixed pressure.
liquid,292.0,101325.0,998.4375232242327,-46.286594865863655,75.39205992169992,stable,IAPWS R6-95(2018),IAPWS-95 liquid root at fixed pressure.
liquid,293.0,101325.0,998.2379970668813,-51.4600862808858,75.3786972349079,stable,IAPWS R6-95(2018),IAPWS-95 liquid root at fixed pressure.
liquid,294.0,101325.0,998.0278950241559,-56.89084374170167,75.36654150496544,stable,IAPWS R6-95(2018),IAPWS-95 liquid root at fixed pressure.
liquid,295.0,101325.0,997.8074379396512,-62.577950821528454,75.35552140745519,stable,IAPWS R6-95(2018),IAPWS-95 liquid root at fixed pressure.
liquid,296.0,101325.0,997.5768373812156,-68.52050115812922,75.34557037192528,stable,IAPWS R6-95(2018),IAPWS-95 liquid root at fixed pressure.
liquid,297.0,101325.0,997.3362961618063,-74.7175981262462,75.33662624691796,stable,IAPWS R6-95(2018),IAPWS-95 liquid root at fixed pressure.
liquid,298.0,101325.0,997.0860088231034,-81.16835452966859,75.32863099655488,stable,IAPWS R6-95(2018),IAPWS-95 liquid root at fixed pressure.
liquid,299.0,101325.0,996.826162085212,-87.87189231300252,75.32153042496623,stable,IAPWS R6-95(2018),IAPWS-95 liquid root at fixed pressure.
liquid,300.0,101325.0,996.5569352652028,-94.8273422866445,75.31527392504363,stable,IAPWS R6-95(2018),IAPWS-95 liquid root at fixed pressure.
liquid,301.0,101325.0,996.2785006671259,-102.0338438702357,75.30981424868092,stable,IAPWS R6-95(2018),IAPWS-95 liquid root at fixed pressure.
liquid,302.0,101325.0,995.9910239458402,-109.49054485042392,75.30510729605997,stable,IAPWS R6-95(2018),IAPWS-95 liquid root at fixed pressure.
liquid,303.0,101325.0,995.6946644467572,-117.19660115001535,75.30111192162661,stable,IAPWS R6-95(2018),IAPWS-95 liquid root at fixed pressure.
liquid,304.0,101325.0,995.3895755233773,-125.15117661431444,75.29778975515681,stable,IAPWS R6-95(2018),IAPWS-95 liquid root at fixed pressure.
liquid,305.0,101325.0,995.0759048344529,-133.3534428030828,75.2951050360372,stable,IAPWS R6-95(2018),IAPWS-95 liquid root at fixed pressure.
liquid,306.0,101325.0,994.7537946222548,-141.8025788003479,75.29302445955307,stable,IAPWS R6-95(2018),IAPWS-95 liquid root at fixed pressure.
liquid,307.0,101325.0,994.4233819733954,-150.49777102988787,75.29151703384413,stable,IAPWS R6-95(2018),IAPWS-95 liquid root at fixed pressure.
liquid,308.0,101325.0,994.0847990635435,-159.43821308481034,75.29055394657719,stable,IAPWS R6-95(2018),IAPWS-95 liquid root at fixed pressure.
liquid,309.0,101325.0,993.7381733872465,-168.62310556063048,75.29010844024806,stable,IAPWS R6-95(2018),IAPWS-95 liquid root at fixed pressure.
liquid,310.0,101325.0,993.3836279738655,-178.05165590376635,75.29015569554143,stable,IAPWS R6-95(2018),IAPWS-95 liquid root at fixed pressure.
liquid,311.0,101325.0,993.0212815906583,-187.7230782638219,75.29067272182937,stable,IAPWS R6-95(2018),IAPWS-95 liquid root at fixed pressure.
liquid,312.0,101325.0,992.6512489339644,-197.63659335551836,75.29163825427348,stable,IAPWS R6-95(2018),IAPWS-95 liquid root at fixed pressure.
liquid,313.0,101325.0,992.273640809275,-207.7914283259178,75.29303265704051,stable,IAPWS R6-95(2018),IAPWS-95 liquid root at fixed pressure.
liquid,314.0,101325.0,991.8885643009327,-218.18681663231152,75.2948378320581,stable,IAPWS R6-95(2018),IAPWS-95 liquid root at fixed pressure.
liquid,315.0,101325.0,991.4961229322652,-228.82199792230315,75.29703713290908,stable,IAPWS R6-95(2018),IAPWS-95 liquid root at fixed pressure.
liquid,316.0,101325.0,991.0964168166822,-239.6962179234626,75.29961528354049,stable,IAPWS R6-95(2018),IAPWS-95 liquid root at fixed pressure.
liquid,317.0,101325.0,990.6895428003879,-250.8087283354229,75.30255830137517,stable,IAPWS R6-95(2018),IAPWS-95 liquid root at fixed pressure.
liquid,318.0,101325.0,990.2755945973192,-262.15878673116913,75.30585342460076,stable,IAPWS R6-95(2018),IAPWS-95 liquid root at fixed pressure.
liquid,319.0,101325.0,989.8546629166741,-273.74565646087564,75.30948904326247,stable,IAPWS R6-95(2018),IAPWS-95 liquid root at fixed pressure.
liquid,320.0,101325.0,989.4268355836331,-285.5686065598622,75.31345463403775,stable,IAPWS R6-95(2018),IAPWS-95 liquid root at fixed pressure.
liquid,321.0,101325.0,988.9921976536355,-297.6269116646943,75.31774069839757,stable,IAPWS R6-95(2018),IAPWS-95 liquid root at fixed pressure.
liquid,322.0,101325.0,988.550831520655,-309.9198519286889,75.32233870392608,stable,IAPWS R6-95(2018),IAPWS-95 liquid root at fixed pressure.
liquid,323.0,101325.0,988.1028170197908,-322.446712946641,75.32724102873675,stable,IAPWS R6-95(2018),IAPWS-95 liquid root at fixed pressure.
liquid,324.0,101325.0,987.6482315245812,-335.20678567824586,75.33244090867414,stable,IAPWS R6-95(2018),IAPWS-95 liquid root at fixed pressure.
liquid,325.0,101325.0,987.1871500393271,-348.19936637917675,75.33793238725227,stable,IAPWS R6-95(2018),IAPWS-95 liquid root at fixed pressure.
liquid,326.0,101325.0,986.7196452867088,-361.4237565330744,75.34371026813596,stable,IAPWS R6-95(2018),IAPWS-95 liquid root at fixed pressure.
liquid,327.0,101325.0,986.2457877910308,-374.87926278775234,75.34977007006094,stable,IAPWS R6-95(2018),IAPWS-95 liquid root at fixed pressure.
liquid,328.0,101325.0,985.7656459572689,-388.56519689444895,75.35610798404281,stable,IAPWS R6-95(2018),IAPWS-95 liquid root at fixed pressure.
liquid,329.0,101325.0,985.2792861462689,-402.48087564843445,75.36272083279239,stable,IAPWS R6-95(2018),IAPWS-95 liquid root at fixed pressure.
liquid,330.0,101325.0,984.7867727461858,-416.6256208344946,75.36960603223393,stable,IAPWS R6-95(2018),IAPWS-95 liquid root at fixed pressure.
liquid,331.0,101325.0,984.2881682404851,-430.99875917318167,75.37676155495697,stable,IAPWS R6-95(2018),IAPWS-95 liquid root at fixed pressure.
liquid,332.0,101325.0,983.7835332726762,-445.5996222700438,75.38418589563004,stable,IAPWS R6-95(2018),IAPWS-95 liquid root at fixed pressure.
liquid,333.0,101325.0,983.2729267079086,-460.4275465669438,75.39187803816648,stable,IAPWS R6-95(2018),IAPWS-95 liquid root at fixed pressure.
liquid,334.0,101325.0,982.7564056916534,-475.48187329527116,75.39983742465044,stable,IAPWS R6-95(2018),IAPWS-95 liquid root at fixed pressure.
liquid,335.0,101325.0,982.2340257056107,-490.76194843184965,75.40806392588142,stable,IAPWS R6-95(2018),IAPWS-95 liquid root at fixed pressure.
liquid,336.0,101325.0,981.7058406210266,-506.2671226549893,75.41655781350696,stable,IAPWS R6-95(2018),IAPWS-95 liquid root at fixed pressure.
liquid,337.0,101325.0,981.171902749464,-521.9967513042544,75.4253197336351,stable,IAPWS R6-95(2018),IAPWS-95 liquid root at fixed pressure.
liquid,338.0,101325.0,980.6322628912932,-537.9501943407228,75.4343506819094,stable,IAPWS R6-95(2018),IAPWS-95 liquid root at fixed pressure.
liquid,339.0,101325.0,980.0869703819083,-554.1268163083525,75.44365197991358,stable,IAPWS R6-95(2018),IAPWS-95 liquid root at fixed pressure.
liquid,340.0,101325.0,979.5360731358596,-570.525986297734,75.45322525290076,stable,IAPWS R6-95(2018),IAPWS-95 liquid root at fixed pressure.
liquid,341.0,101325.0,978.9796176889546,-587.1470779111106,75.46307240877532,stable,IAPWS R6-95(2018),IAPWS-95 liquid root at fixed pressure.
liquid,342.0,101325.0,978.4176492384933,-603.9894692272537,75.47319561825498,stable,IAPWS R6-95(2018),IAPWS-95 liquid root at fixed pressure.
liquid,343.0,101325.0,977.8502116816807,-621.0525427697626,75.48359729617238,stable,IAPWS R6-95(2018),IAPWS-95 liquid root at fixed pressure.
liquid,344.0,101325.0,977.2773476523129,-638.335685474062,75.49428008385179,stable,IAPWS R6-95(2018),IAPWS-95 liquid root at fixed pressure.
liquid,345.0,101325.0,976.6990985558466,-655.838288657587,75.50524683254936,stable,IAPWS R6-95(2018),IAPWS-95 liquid root at fixed pressure.
liquid,346.0,101325.0,976.1155046029404,-673.5597479891098,75.51650058785357,stable,IAPWS R6-95(2018),IAPWS-95 liquid root at fixed pressure.
liquid,347.0,101325.0,975.526604841467,-691.4994634607957,75.52804457504625,stable,IAPWS R6-95(2018),IAPWS-95 liquid root at fixed pressure.
liquid,348.0,101325.0,974.9324371871791,-709.6568393587095,75.53988218536037,stable,IAPWS R6-95(2018),IAPWS-95 liquid root at fixed pressure.
liquid,349.0,101325.0,974.333038452995,-728.0312842371786,75.55201696308924,stable,IAPWS R6-95(2018),IAPWS-95 liquid root at fixed pressure.
liquid,350.0,101325.0,973.7284443770476,-746.6222108907394,75.56445259353391,stable,IAPWS R6-95(2018),IAPWS-95 liquid root at fixed pressure.
liquid,351.0,101325.0,973.1186896494861,-765.429036329395,75.57719289171123,stable,IAPWS R6-95(2018),IAPWS-95 liquid root at fixed pressure.
liquid,352.0,101325.0,972.5038079381412,-784.4511817531046,75.5902417918112,stable,IAPWS R6-95(2018),IAPWS-95 liquid root at fixed pressure.
liquid,353.0,101325.0,971.883831913077,-803.6880725270854,75.60360333738873,stable,IAPWS R6-95(2018),IAPWS-95 liquid root at fixed pressure.
liquid,354.0,101325.0,971.2587932701022,-823.1391381577673,75.6172816721813,stable,IAPWS R6-95(2018),IAPWS-95 liquid root at fixed pressure.
liquid,355.0,101325.0,970.6287227532397,-842.8038122700174,75.63128103162313,stable,IAPWS R6-95(2018),IAPWS-95 liquid root at fixed pressure.
liquid,356.0,101325.0,969.9936501762843,-862.6815325838883,75.64560573494323,stable,IAPWS R6-95(2018),IAPWS-95 liquid root at fixed pressure.
liquid,357.0,101325.0,969.3536044433927,-882.771740891925,75.66026017785086,stable,IAPWS R6-95(2018),IAPWS-95 liquid root at fixed pressure.
liquid,358.0,101325.0,968.708613568837,-903.0738830374411,75.67524882577763,stable,IAPWS R6-95(2018),IAPWS-95 liquid root at fixed pressure.
liquid,359.0,101325.0,968.058704695866,-923.5874088936376,75.6905762076529,stable,IAPWS R6-95(2018),IAPWS-95 liquid root at fixed pressure.
liquid,360.0,101325.0,967.4039041148195,-944.3117723418667,75.70624691017707,stable,IAPWS R6-95(2018),IAPWS-95 liquid root at fixed pressure.
liquid,361.0,101325.0,966.7442372804177,-965.2464312509372,75.72226557257214,stable,IAPWS R6-95(2018),IAPWS-95 liquid root at fixed pressure.
liquid,362.0,101325.0,966.0797288283516,-986.3908474572763,75.7386368817853,stable,IAPWS R6-95(2018),IAPWS-95 liquid root at fixed pressure.
liquid,363.0,101325.0,965.4104025911308,-1007.7444867449141,75.7553655681423,stable,IAPWS R6-95(2018),IAPWS-95 liquid root at fixed pressure.
liquid,364.0,101325.0,964.7362816132825,-1029.3068188252369,75.77245640136731,stable,IAPWS R6-95(2018),IAPWS-95 liquid root at fixed pressure.
liquid,365.0,101325.0,964.0573881658722,-1051.0773173187335,75.78991418704629,stable,IAPWS R6-95(2018),IAPWS-95 liquid root at fixed pressure.
liquid,366.0,101325.0,963.3737437604138,-1073.0554597352675,75.80774376342298,stable,IAPWS R6-95(2018),IAPWS-95 liquid root at fixed pressure.
liquid,367.0,101325.0,962.6853691621659,-1095.2407274558445,75.8259499985527,stable,IAPWS R6-95(2018),IAPWS-95 liquid root at fixed pressure.
liquid,368.0,101325.0,961.9922844028582,-1117.6326057140836,75.84453778780687,stable,IAPWS R6-95(2018),IAPWS-95 liquid root at fixed pressure.
liquid,369.0,101325.0,961.2945087928653,-1140.2305835775946,75.86351205166667,stable,IAPWS R6-95(2018),IAPWS-95 liquid root at fixed pressure.
liquid,370.0,101325.0,960.5920609328138,-1163.0341539315284,75.88287773384634,stable,IAPWS R6-95(2018),IAPWS-95 liquid root at fixed pressure.
liquid,371.0,101325.0,959.8849587247254,-1186.0428134592403,75.90263979967065,stable,IAPWS R6-95(2018),IAPWS-95 liquid root at fixed pressure.
liquid,372.0,101325.0,959.1732193826106,-1209.2560626261763,75.92280323474958,stable,IAPWS R6-95(2018),IAPWS-95 liquid root at fixed pressure.
liquid,373.0,101325.0,958.4568594426139,-1232.67340566262,75.94337304389228,stable,IAPWS R6-95(2018),IAPWS-95 liquid root at fixed pressure.
liquid,373.12429584768444,101325.0,958.3674968154636,-1235.5983203617586,75.94595842852546,phase-boundary,IAPWS R6-95(2018),IAPWS-95 liquid root at fixed pressure.
liquid,374.0,101325.0,957.7358947726925,-1256.294350546293,75.96435425027178,metastable-source-formulation-derived,IAPWS R6-95(2018),Superheated liquid; positive-pressure IAPWS-95 extrapolation.
liquid,375.0,101325.0,957.0103405818363,-1280.118408986158,75.98575189482027,metastable-source-formulation-derived,IAPWS R6-95(2018),Superheated liquid; positive-pressure IAPWS-95 extrapolation.
liquid,376.0,101325.0,956.2802114288675,-1304.145096405873,76.00757103583118,metastable-source-formulation-derived,IAPWS R6-95(2018),Superheated liquid; positive-pressure IAPWS-95 extrapolation.
liquid,377.0,101325.0,955.5455212308144,-1328.3739319278347,76.0298167487942,metastable-source-formulation-derived,IAPWS R6-95(2018),Superheated liquid; positive-pressure IAPWS-95 extrapolation.
liquid,378.0,101325.0,954.8062832708973,-1352.8044383568974,76.0524941263949,metastable-source-formulation-derived,IAPWS R6-95(2018),Superheated liquid; positive-pressure IAPWS-95 extrapolation.
liquid,379.0,101325.0,954.0625102061047,-1377.4361421646358,76.07560827873714,metastable-source-formulation-derived,IAPWS R6-95(2018),Superheated liquid; positive-pressure IAPWS-95 extrapolation.
liquid,380.0,101325.0,953.3142140744029,-1402.2685734739568,76.09916433370094,metastable-source-formulation-derived,IAPWS R6-95(2018),Superheated liquid; positive-pressure IAPWS-95 extrapolation.
liquid,381.0,101325.0,952.5614063015719,-1427.3012660436705,76.12316743750976,metastable-source-formulation-derived,IAPWS R6-95(2018),Superheated liquid; positive-pressure IAPWS-95 extrapolation.
liquid,382.0,101325.0,951.8040977076897,-1452.5337572536673,76.14762275543578,metastable-source-formulation-derived,IAPWS R6-95(2018),Superheated liquid; positive-pressure IAPWS-95 extrapolation.
liquid,383.0,101325.0,951.0422985132739,-1477.965588089582,76.17253547265565,metastable-source-formulation-derived,IAPWS R6-95(2018),Superheated liquid; positive-pressure IAPWS-95 extrapolation.
liquid,384.0,101325.0,950.2760183450763,-1503.5963031281747,76.19791079526055,metastable-source-formulation-derived,IAPWS R6-95(2018),Superheated liquid; positive-pressure IAPWS-95 extrapolation.
liquid,385.0,101325.0,949.505266241566,-1529.4254505228994,76.2237539514021,metastable-source-formulation-derived,IAPWS R6-95(2018),Superheated liquid; positive-pressure IAPWS-95 extrapolation.
liquid,386.0,101325.0,948.730050658072,-1555.4525819898947,76.25007019256253,metastable-source-formulation-derived,IAPWS R6-95(2018),Superheated liquid; positive-pressure IAPWS-95 extrapolation.
liquid,387.0,101325.0,947.9503794716475,-1581.677252793353,76.27686479495956,metastable-source-formulation-derived,IAPWS R6-95(2018),Superheated liquid; positive-pressure IAPWS-95 extrapolation.
liquid,388.0,101325.0,947.1662599855964,-1608.099021732083,76.30414306106425,metastable-source-formulation-derived,IAPWS R6-95(2018),Superheated liquid; positive-pressure IAPWS-95 extrapolation.
